"","year","month","gov_gop","sen_gop","rep_gop","gov_dem","sen_dem","rep_dem","president","close","unemployment"
"1080",55,"November",NA,NA,NA,NA,NA,NA,NA,45.509998,NA
"1081",55,"December",NA,NA,NA,NA,NA,NA,NA,45.48,NA
"1082",56,"January",NA,NA,NA,NA,NA,NA,NA,43.82,NA
"1083",56,"February",NA,NA,NA,NA,NA,NA,NA,45.34,NA
"1084",56,"March",NA,NA,NA,NA,NA,NA,NA,48.48,NA
"1085",56,"April",NA,NA,NA,NA,NA,NA,NA,48.380001,NA
"1086",56,"May",NA,NA,NA,NA,NA,NA,NA,45.200001,NA
"1087",56,"June",NA,NA,NA,NA,NA,NA,NA,46.970001,NA
"1088",56,"July",NA,NA,NA,NA,NA,NA,NA,49.389999,NA
"1089",56,"August",NA,NA,NA,NA,NA,NA,NA,47.509998,NA
"1090",56,"September",NA,NA,NA,NA,NA,NA,NA,45.349998,NA
"1091",56,"October",NA,NA,NA,NA,NA,NA,NA,45.580002,NA
"1092",56,"November",NA,NA,NA,NA,NA,NA,NA,45.080002,NA
"1093",56,"December",NA,NA,NA,NA,NA,NA,NA,46.669998,NA
"1094",57,"January",NA,NA,NA,NA,NA,NA,NA,44.720001,NA
"1095",57,"February",NA,NA,NA,NA,NA,NA,NA,43.259998,NA
"1096",57,"March",NA,NA,NA,NA,NA,NA,NA,44.110001,NA
"1097",57,"April",NA,NA,NA,NA,NA,NA,NA,45.740002,NA
"1098",57,"May",NA,NA,NA,NA,NA,NA,NA,47.43,NA
"1099",57,"June",NA,NA,NA,NA,NA,NA,NA,47.369999,NA
"1100",57,"July",NA,NA,NA,NA,NA,NA,NA,47.91,NA
"1101",57,"August",NA,NA,NA,NA,NA,NA,NA,45.220001,NA
"1102",57,"September",NA,NA,NA,NA,NA,NA,NA,42.419998,NA
"1103",57,"October",NA,NA,NA,NA,NA,NA,NA,41.060001,NA
"1104",57,"November",NA,NA,NA,NA,NA,NA,NA,41.720001,NA
"1105",57,"December",NA,NA,NA,NA,NA,NA,NA,39.990002,NA
"1106",58,"January",NA,NA,NA,NA,NA,NA,NA,41.700001,NA
